Complexity,Loss,Equation
1,497.6766105884413,"77.7456873799178"
4,42.039176914197554,"sqrt(x1 * 8.660931832980149)"
6,15.296285594638519,"(sqrt(x1) * 2.408252292222384) + 15.53412220732593"
7,11.479298140563873,"(log(x1) * log(x1)) / 0.5231211110801572"
8,5.784170948061847,"(sqrt(x1) * 4.019695684975391) + (x1 * -0.03474615098948801)"
10,5.773944954504322,"((sqrt(x1) * 4.0721893641545694) + -0.6100542452714851) + (x1 * -0.03576248627411706)"
12,5.754702219453892,"(x1 * -0.03484527513688095) + (((-1.297237197185026 / x1) + sqrt(x1)) * 4.023119836535029)"
13,5.662826690583111,"((x1 * -0.039015437445925394) - log(x1)) + ((sqrt(x1) * 4.326239979430419) + 1.5847529872768482)"
20,4.786885353956328,"((x1 * 0.16954862310151847) + (-1.920349603473242 / x1)) + ((((-0.0030414799995831933 * sqrt(x1 - 0.22932599335260903)) * x1) + 21.83349392209555) + -0.44807664514463497)"
21,4.036980631933983,"(x1 * -0.01769324199399752) + ((((-9.208393577210023 / (sqrt(x1 * 3.7139704115464403) + (x1 * -0.0483015589864771))) + sqrt(x1)) * 3.3465145575903392) + 7.5611726998969955)"
23,4.036800503934735,"((x1 * -0.015120955799157473) + ((((-9.200516093959962 / (sqrt(x1 * 3.676651951087791) + (x1 * -0.0480563398132228))) + sqrt(x1)) * 2.8578198225635694) + 6.48640038315121)) / 0.854250038752015"
25,4.033957372237147,"((x1 * -0.015120955799157473) + ((((-9.200516093959962 / ((x1 * -0.0480563398132228) + sqrt(x1 * 3.676651951087791))) + sqrt(x1 - -1.076696338632205)) * 2.8578198225635694) + 6.48640038315121)) / 0.854250038752015"
26,3.700593709070552,"((x1 * 0.16913541962611559) + (((sqrt(x1 - -2.8804472721976033) * -0.0030281159969886076) * x1) + 21.33441048399855)) + (-2.4590173504638932 / (x1 - (((x1 * 1.9196771750720287) + 0.022830080048291707) - x1)))"
